'index', 'num_nodes', 'num_edges', 'density', 'avg_degree', 'avg_degree_central', 'min_degree_central', 'max_degree_central', 'avg_eigen_central', 'min_eigen_central', 'max_eigen_central', 'avg_btwn_central', 'min_btwn_central', 'max_btwn_central', 'max_clique_size', 'clustering_coefficient', 'transitivity', 'num_strongly_connected_components', 'vertex_cover_size', 'avg_shortest_path_len'
0,4,4,0.333,1.0,0.667,0.333,1.0,-1,-1,-1,0.0,0.0,0.0,2,0.292,0.5,4,2,0.333
1,19,32,0.094,0.95,0.187,0.056,1.056,0.099,0.0,0.707,0.009,0.0,0.108,2,0.222,0.4,17,8,0.345
2,25,56,0.093,1.389,0.187,0.042,0.708,0.113,0.0,0.565,0.011,0.0,0.064,3,0.227,0.41,14,15,0.478
3,18,41,0.134,1.125,0.268,0.059,0.882,0.137,0.0,0.726,0.029,0.0,0.153,4,0.27,0.312,8,13,0.83
4,24,47,0.085,1.412,0.17,0.043,0.696,-1,-1,-1,0.019,0.0,0.099,2,0.143,0.244,15,12,0.69
5,15,27,0.129,1.154,0.257,0.071,0.857,0.159,0.0,0.762,0.005,0.0,0.027,2,0.219,0.233,10,10,0.252
6,22,41,0.089,1.375,0.177,0.048,0.714,0.103,0.0,0.614,0.008,0.0,0.045,3,0.203,0.379,16,14,0.359
7,18,33,0.108,1.385,0.216,0.059,0.706,0.14,0.0,0.55,0.028,0.0,0.101,2,0.064,0.28,13,10,0.745
8,17,36,0.132,1.214,0.265,0.062,0.812,0.158,0.0,0.667,0.047,0.0,0.281,3,0.215,0.29,10,12,1.188
9,20,36,0.095,1.538,0.189,0.053,0.632,-1,-1,-1,0.022,0.0,0.096,3,0.111,0.25,13,12,0.674
10,13,22,0.141,1.3,0.282,0.083,0.75,-1,-1,-1,0.01,0.0,0.068,2,0.168,0.308,8,10,0.34
11,21,51,0.121,1.312,0.243,0.05,0.75,0.145,0.0,0.759,0.048,0.0,0.214,2,0.16,0.215,10,13,1.433
12,18,36,0.118,1.286,0.235,0.059,0.765,0.15,0.0,0.611,0.023,0.0,0.143,2,0.202,0.227,10,10,0.709
13,21,53,0.126,1.4,0.252,0.05,0.7,0.149,0.0,0.653,0.041,0.0,0.275,2,0.228,0.269,9,13,1.302
14,8,9,0.161,1.143,0.321,0.143,0.857,0.177,0.0,0.707,0.003,0.0,0.024,2,0.087,0.5,8,2,0.179
15,12,13,0.098,1.091,0.197,0.091,0.909,0.118,0.0,0.707,0.001,0.0,0.009,2,0.084,0.5,12,5,0.106
16,20,27,0.071,1.25,0.142,0.053,0.789,0.105,0.0,0.919,0.001,0.0,0.004,2,0.114,0.273,17,10,0.103
17,14,27,0.148,1.4,0.297,0.077,0.692,0.153,0.0,0.576,0.012,0.0,0.064,3,0.242,0.417,8,10,0.396
18,22,44,0.095,1.467,0.19,0.048,0.667,-1,-1,-1,0.014,0.0,0.073,2,0.09,0.122,12,14,0.552
19,17,31,0.114,1.133,0.228,0.062,0.875,0.134,0.0,0.871,0.008,0.0,0.054,3,0.302,0.429,12,12,0.312
20,17,35,0.129,1.133,0.257,0.062,0.875,0.139,0.0,0.739,0.027,0.0,0.156,2,0.144,0.259,10,10,0.732
21,19,34,0.099,1.583,0.199,0.056,0.611,0.125,0.0,0.783,0.012,0.0,0.08,2,0.129,0.192,12,14,0.433
22,15,24,0.114,1.5,0.229,0.071,0.643,0.172,0.0,0.704,0.018,0.0,0.082,3,0.114,0.25,11,8,0.486
23,14,19,0.104,1.273,0.209,0.077,0.769,0.139,0.0,0.649,0.002,0.0,0.019,2,0.119,0.286,10,8,0.159
24,13,28,0.179,1.3,0.359,0.083,0.75,0.206,0.0,0.76,0.129,0.0,0.356,2,0.141,0.208,4,10,2.135
25,17,34,0.125,1.545,0.25,0.062,0.625,0.157,0.0,0.671,0.025,0.0,0.119,3,0.095,0.214,10,12,0.728
26,13,23,0.147,1.3,0.295,0.083,0.75,0.181,0.0,0.761,0.028,0.0,0.095,2,0.171,0.25,7,10,0.609
27,21,32,0.076,1.4,0.152,0.05,0.7,0.111,0.0,0.615,0.004,0.0,0.026,2,0.147,0.206,17,16,0.198
28,22,67,0.145,1.294,0.29,0.048,0.762,0.147,0.0,0.716,0.041,0.0,0.19,4,0.246,0.268,8,14,1.424
29,15,32,0.152,1.5,0.305,0.071,0.643,0.177,0.0,0.635,0.04,0.0,0.214,2,0.111,0.288,7,8,0.971
30,18,37,0.121,1.125,0.242,0.059,0.882,0.13,0.0,0.736,0.021,0.0,0.154,2,0.295,0.237,11,12,0.654
31,4,3,0.25,1.333,0.5,0.333,0.667,-1,-1,-1,0.042,0.0,0.167,2,0.0,0.0,4,2,0.417
32,18,32,0.105,1.286,0.209,0.059,0.765,0.137,0.0,0.675,0.012,0.0,0.062,3,0.151,0.333,11,10,0.422
33,17,37,0.136,1.062,0.272,0.062,0.938,0.147,0.0,0.724,0.023,0.0,0.135,3,0.274,0.295,8,10,0.669
34,21,50,0.119,1.0,0.238,0.05,1.0,0.156,0.0,0.535,0.036,0.0,0.386,3,0.24,0.258,8,12,1.243
35,17,30,0.11,1.308,0.221,0.062,0.75,0.152,0.0,0.644,0.022,0.0,0.217,3,0.178,0.229,9,10,0.654
36,16,24,0.1,1.333,0.2,0.067,0.733,-1,-1,-1,0.001,0.0,0.019,2,0.243,0.385,16,6,0.133
37,15,35,0.167,1.25,0.333,0.071,0.786,0.18,0.0,0.636,0.07,0.0,0.335,2,0.178,0.216,6,8,1.519
38,11,14,0.127,1.0,0.255,0.1,1.0,0.163,0.0,0.894,0.0,0.0,0.0,2,0.186,0.5,9,4,0.127
39,16,34,0.142,1.333,0.283,0.067,0.733,0.163,0.0,0.69,0.087,0.0,0.31,2,0.188,0.265,7,14,1.792
40,21,40,0.095,1.5,0.19,0.05,0.65,0.128,0.0,0.631,0.017,0.0,0.17,3,0.212,0.325,13,12,-1
41,18,30,0.098,1.385,0.196,0.059,0.706,-1,-1,-1,0.004,0.0,0.018,2,0.136,0.25,11,11,0.219
42,19,37,0.108,1.267,0.216,0.056,0.778,0.144,0.0,0.722,0.031,0.0,0.191,2,0.133,0.217,10,14,0.895
43,20,37,0.097,1.429,0.195,0.053,0.684,0.133,0.0,0.782,0.01,0.0,0.061,3,0.181,0.276,14,12,0.395
44,22,38,0.082,1.833,0.165,0.048,0.524,0.116,0.0,0.727,0.034,0.0,0.168,2,0.122,0.393,14,12,1.058
45,15,30,0.143,1.25,0.286,0.071,0.786,0.181,0.0,0.58,0.033,0.0,0.176,3,0.317,0.31,8,10,0.805
46,24,34,0.062,1.2,0.123,0.043,0.826,0.094,0.0,0.789,0.002,0.0,0.027,2,0.081,0.194,19,12,0.141
47,24,51,0.092,1.333,0.185,0.043,0.739,0.116,0.0,0.679,0.018,0.0,0.13,2,0.222,0.336,12,14,0.687
48,18,32,0.105,1.125,0.209,0.059,0.882,0.125,0.0,0.662,0.01,0.0,0.081,2,0.199,0.283,11,10,0.373
49,21,32,0.076,1.312,0.152,0.05,0.75,0.103,0.0,0.794,0.003,0.0,0.013,2,0.043,0.176,15,12,0.167
50,17,24,0.088,1.417,0.176,0.062,0.688,-1,-1,-1,0.008,0.0,0.037,2,0.075,0.125,14,12,0.283
51,16,27,0.113,1.231,0.225,0.067,0.8,0.116,0.0,0.77,0.013,0.0,0.06,3,0.155,0.333,11,8,0.4
52,5,4,0.2,1.0,0.4,0.25,1.0,-1,-1,-1,0.0,0.0,0.0,2,0.0,0.0,5,2,0.2
53,14,27,0.148,1.273,0.297,0.077,0.769,0.161,0.0,0.782,0.024,0.0,0.144,2,0.216,0.31,10,8,0.632
54,12,16,0.121,1.5,0.242,0.091,0.636,-1,-1,-1,0.017,0.0,0.1,2,0.135,0.333,10,6,0.402
55,12,12,0.091,1.2,0.182,0.091,0.818,-1,-1,-1,0.002,0.0,0.009,2,0.057,0.5,12,4,0.121
56,18,35,0.114,1.2,0.229,0.059,0.824,0.145,0.0,0.716,0.035,0.0,0.235,2,0.228,0.227,11,14,0.951
57,24,47,0.085,1.846,0.17,0.043,0.522,0.131,0.0,0.721,0.025,0.0,0.129,2,0.064,0.1,11,12,0.889
58,19,37,0.108,1.462,0.216,0.056,0.667,0.149,0.0,0.626,0.019,0.0,0.16,2,0.126,0.224,10,12,0.655
59,14,27,0.148,1.4,0.297,0.077,0.692,0.151,0.0,0.66,0.037,0.0,0.176,2,0.214,0.225,7,10,0.83
60,23,44,0.087,1.278,0.174,0.045,0.773,0.124,0.0,0.731,0.02,0.0,0.122,3,0.151,0.244,13,14,0.694
61,14,20,0.11,1.556,0.22,0.077,0.615,0.168,0.0,0.729,0.022,0.0,0.16,3,0.123,0.192,11,4,0.582
62,19,31,0.091,1.462,0.181,0.056,0.667,0.131,0.0,0.706,0.016,0.0,0.126,3,0.203,0.325,13,8,0.509
63,13,21,0.135,1.625,0.269,0.083,0.583,0.167,0.0,0.736,0.014,0.0,0.049,2,0.123,0.273,9,10,0.404
64,21,28,0.067,1.312,0.133,0.05,0.75,0.081,0.0,0.648,0.001,0.0,0.008,2,0.091,0.25,17,13,0.11
65,22,43,0.093,1.294,0.186,0.048,0.762,0.111,0.0,0.622,0.01,0.0,0.155,3,0.258,0.297,12,11,0.444
66,10,14,0.156,1.429,0.311,0.111,0.667,0.244,0.0,0.691,0.01,0.0,0.056,2,0.069,0.143,6,6,0.311
67,15,25,0.119,1.0,0.238,0.071,1.0,0.126,0.0,0.943,0.002,0.0,0.016,2,0.26,0.26,13,8,0.167
68,19,37,0.108,1.462,0.216,0.056,0.667,0.142,0.0,0.662,0.025,0.0,0.144,2,0.135,0.234,12,12,0.754
69,12,17,0.129,1.5,0.258,0.091,0.636,0.176,0.0,0.782,0.009,0.0,0.045,2,0.095,0.292,10,8,0.295
70,6,8,0.267,0.857,0.533,0.2,1.2,0.283,0.0,0.648,0.017,0.0,0.1,2,0.144,0.5,5,4,0.367
71,11,20,0.182,1.1,0.364,0.1,0.9,0.217,0.0,0.652,0.017,0.0,0.144,3,0.236,0.375,7,4,0.473
72,20,40,0.105,1.25,0.211,0.053,0.789,0.125,0.0,0.709,0.021,0.0,0.12,2,0.152,0.324,13,12,0.689
73,15,31,0.148,1.154,0.295,0.071,0.857,0.159,0.0,0.751,0.022,0.0,0.154,2,0.244,0.3,9,9,0.61
74,15,22,0.105,1.25,0.21,0.071,0.786,0.159,0.0,0.821,0.008,0.0,0.038,2,0.115,0.25,11,8,0.286
75,14,26,0.143,1.167,0.286,0.077,0.846,0.162,0.0,0.772,0.018,0.0,0.105,2,0.159,0.286,9,8,0.511
76,26,63,0.097,1.083,0.194,0.04,0.92,0.122,0.0,0.687,0.032,0.0,0.364,3,0.23,0.266,12,14,1.294
77,18,30,0.098,1.385,0.196,0.059,0.706,0.113,0.0,0.747,0.008,0.0,0.066,2,0.165,0.344,12,12,0.307
78,14,21,0.115,1.077,0.231,0.077,0.923,0.144,0.0,0.837,0.005,0.0,0.026,2,0.179,0.292,11,6,0.214
79,25,59,0.098,1.667,0.197,0.042,0.583,0.131,0.0,0.672,0.049,0.0,0.262,3,0.175,0.212,10,15,1.708
80,16,29,0.121,1.143,0.242,0.067,0.867,0.146,0.0,0.678,0.018,0.0,0.09,2,0.135,0.289,11,8,0.525
81,22,42,0.091,1.375,0.182,0.048,0.714,0.128,0.0,0.655,0.02,0.0,0.143,2,0.162,0.182,13,14,0.714
82,25,47,0.078,1.316,0.157,0.042,0.75,0.114,0.0,0.695,0.009,0.0,0.066,3,0.234,0.342,15,14,0.378
83,24,54,0.098,1.333,0.196,0.043,0.739,0.118,0.0,0.752,0.038,0.0,0.141,3,0.226,0.273,13,14,1.275
84,22,56,0.121,1.222,0.242,0.048,0.81,0.135,0.0,0.686,0.039,0.0,0.17,3,0.205,0.309,8,14,1.277
85,27,49,0.07,1.588,0.14,0.038,0.615,0.105,0.0,0.698,0.02,0.0,0.17,3,0.141,0.255,16,12,0.815
86,21,41,0.098,1.312,0.195,0.05,0.75,0.112,0.0,0.697,0.017,0.0,0.118,3,0.216,0.355,15,16,0.6
87,19,42,0.123,1.357,0.246,0.056,0.722,0.163,0.0,0.699,0.04,0.0,0.222,2,0.176,0.202,8,10,1.135
88,23,36,0.071,1.438,0.142,0.045,0.682,-1,-1,-1,0.006,0.0,0.056,2,0.087,0.167,16,10,0.298
89,17,32,0.118,1.214,0.235,0.062,0.812,0.152,0.0,0.756,0.035,0.0,0.2,2,0.215,0.25,9,8,0.886
90,26,51,0.078,1.3,0.157,0.04,0.76,0.105,0.0,0.779,0.026,0.0,0.157,3,0.138,0.217,15,12,0.948
91,21,45,0.107,1.312,0.214,0.05,0.75,0.138,0.0,0.653,0.045,0.0,0.338,3,0.247,0.27,11,12,1.343
92,17,22,0.081,1.417,0.162,0.062,0.688,0.116,0.0,0.632,0.002,0.0,0.017,2,0.07,0.214,13,10,0.147
93,6,7,0.233,1.2,0.467,0.2,0.8,0.347,0.0,0.677,0.15,0.0,0.35,2,0.172,0.25,4,6,1.2
94,22,50,0.108,1.222,0.216,0.048,0.81,0.129,0.0,0.654,0.023,0.0,0.186,3,0.205,0.305,11,12,0.827
95,25,52,0.087,1.786,0.173,0.042,0.542,0.128,0.0,0.572,0.033,0.0,0.322,3,0.074,0.103,13,18,1.253
96,13,23,0.147,1.3,0.295,0.083,0.75,0.194,0.0,0.651,0.047,0.0,0.201,2,0.141,0.219,7,8,0.91
97,19,36,0.105,1.462,0.211,0.056,0.667,0.133,0.0,0.686,0.048,0.0,0.168,2,0.126,0.24,8,16,1.208
98,18,39,0.127,1.385,0.255,0.059,0.706,0.168,0.0,0.479,0.019,0.0,0.127,3,0.259,0.265,9,12,0.644
99,26,51,0.078,1.529,0.157,0.04,0.64,0.129,0.0,0.59,0.032,0.0,0.273,2,0.092,0.129,13,12,1.18
100,22,64,0.139,1.375,0.277,0.048,0.714,0.15,0.0,0.629,0.045,0.0,0.196,3,0.197,0.245,7,10,1.528
101,28,66,0.087,1.556,0.175,0.037,0.63,0.127,0.0,0.625,0.027,0.0,0.183,3,0.133,0.191,12,14,1.143
102,26,70,0.108,1.444,0.215,0.04,0.68,0.128,0.0,0.633,0.034,0.0,0.15,3,0.199,0.242,13,16,1.329
103,25,60,0.1,1.389,0.2,0.042,0.708,0.128,0.0,0.805,0.067,0.0,0.263,2,0.162,0.234,9,18,2.108
104,16,21,0.087,1.778,0.175,0.067,0.533,0.135,0.0,0.595,0.007,0.0,0.067,2,0.017,0.111,11,8,0.263
105,20,46,0.121,1.538,0.242,0.053,0.632,-1,-1,-1,0.027,0.0,0.19,3,0.229,0.261,10,14,0.853
106,19,38,0.111,1.357,0.222,0.056,0.722,0.114,0.0,0.724,0.01,0.0,0.049,3,0.312,0.38,12,16,0.389
107,27,50,0.071,1.688,0.142,0.038,0.577,-1,-1,-1,0.019,0.0,0.116,2,0.223,0.272,17,14,0.756
108,26,55,0.085,1.444,0.169,0.04,0.68,-1,-1,-1,0.029,0.0,0.128,3,0.2,0.216,13,16,1.051
109,31,87,0.094,1.348,0.187,0.033,0.733,0.114,0.0,0.608,0.041,0.0,0.168,3,0.217,0.274,13,20,1.722
110,22,32,0.069,1.571,0.139,0.048,0.619,0.091,0.0,0.753,0.008,0.0,0.057,2,0.127,0.3,18,12,0.312
111,34,82,0.073,1.308,0.146,0.03,0.758,0.113,0.0,0.641,0.039,0.0,0.522,3,0.159,0.152,11,16,1.955
112,23,51,0.101,1.438,0.202,0.045,0.682,0.135,0.0,0.695,0.025,0.0,0.187,2,0.097,0.131,12,12,0.943
113,23,49,0.097,1.353,0.194,0.045,0.727,0.123,0.0,0.524,0.013,0.0,0.078,3,0.136,0.286,14,14,0.534
114,30,65,0.075,2.143,0.149,0.034,0.448,0.116,0.0,0.549,0.035,0.0,0.231,2,0.201,0.189,15,21,1.476
115,27,60,0.085,1.227,0.171,0.038,0.808,0.112,0.0,0.661,0.02,0.0,0.147,3,0.162,0.209,15,12,0.84
116,20,35,0.092,1.429,0.184,0.053,0.684,0.13,0.0,0.585,0.015,0.0,0.104,2,0.177,0.286,13,12,0.521
117,26,64,0.098,1.182,0.197,0.04,0.84,0.115,0.0,0.661,0.027,0.0,0.138,3,0.256,0.323,13,16,1.089
118,24,51,0.092,1.263,0.185,0.043,0.783,0.107,0.0,0.696,0.023,0.0,0.148,3,0.224,0.246,14,16,0.846
119,27,56,0.08,1.5,0.16,0.038,0.654,0.111,0.0,0.808,0.058,0.0,0.242,2,0.154,0.213,12,15,1.942
120,30,65,0.075,1.25,0.149,0.034,0.793,0.098,0.0,0.831,0.017,0.0,0.089,2,0.168,0.266,17,18,0.73
121,33,87,0.082,1.269,0.165,0.031,0.781,0.103,0.0,0.66,0.029,0.0,0.196,3,0.226,0.31,16,18,1.355
122,26,45,0.069,1.625,0.138,0.04,0.6,0.105,0.0,0.634,0.013,0.0,0.1,2,0.083,0.132,16,14,0.531
123,14,28,0.154,1.556,0.308,0.077,0.615,0.182,0.0,0.735,0.052,0.0,0.176,3,0.1,0.231,8,10,1.11
124,29,72,0.089,1.208,0.177,0.036,0.821,0.113,0.0,0.695,0.025,0.0,0.282,3,0.268,0.263,12,18,1.123
125,15,22,0.105,1.364,0.21,0.071,0.714,-1,-1,-1,0.004,0.0,0.027,2,0.134,0.333,11,8,0.205
126,30,80,0.092,1.5,0.184,0.034,0.655,0.114,0.0,0.521,0.034,0.0,0.167,3,0.31,0.248,11,20,1.426
127,27,59,0.084,1.5,0.168,0.038,0.654,0.114,0.0,0.676,0.03,0.0,0.18,2,0.208,0.209,12,18,1.14
128,29,74,0.091,1.381,0.182,0.036,0.714,0.113,0.0,0.674,0.03,0.0,0.137,2,0.148,0.279,12,22,1.25
129,25,66,0.11,1.316,0.22,0.042,0.75,0.137,0.0,0.672,0.047,0.0,0.289,2,0.217,0.193,8,18,1.735
130,25,66,0.11,1.316,0.22,0.042,0.75,0.137,0.0,0.672,0.047,0.0,0.289,2,0.217,0.193,8,18,1.735
131,34,92,0.082,1.545,0.164,0.03,0.636,0.108,0.0,0.613,0.024,0.0,0.173,3,0.175,0.203,13,20,1.274
132,27,77,0.11,1.35,0.219,0.038,0.731,0.124,0.0,0.694,0.046,0.0,0.264,3,0.176,0.227,8,20,1.795
133,26,55,0.085,1.444,0.169,0.04,0.68,0.112,0.0,0.502,0.025,0.0,0.176,3,0.185,0.263,13,18,0.955
134,22,58,0.126,1.1,0.251,0.048,0.905,0.146,0.0,0.593,0.051,0.0,0.429,3,0.23,0.236,6,16,1.69
135,23,55,0.109,1.353,0.217,0.045,0.727,0.139,0.0,0.682,0.033,0.0,0.168,3,0.154,0.235,12,10,1.107
136,9,12,0.167,1.125,0.333,0.125,0.875,0.216,0.0,0.649,0.016,0.0,0.143,2,0.131,0.3,7,2,0.389
137,23,52,0.103,1.211,0.206,0.045,0.818,0.124,0.0,0.587,0.014,0.0,0.081,3,0.275,0.304,10,16,0.569
138,32,74,0.075,1.455,0.149,0.032,0.677,0.104,0.0,0.663,0.036,0.0,0.213,2,0.18,0.196,15,18,1.536
139,20,56,0.147,1.0,0.295,0.053,1.0,0.158,0.0,0.638,0.043,0.0,0.367,3,0.347,0.295,7,12,1.426
140,26,38,0.058,1.3,0.117,0.04,0.76,0.084,0.0,0.515,0.004,0.0,0.036,2,0.091,0.222,20,16,0.203
141,21,37,0.088,1.5,0.176,0.05,0.65,-1,-1,-1,0.018,0.0,0.108,2,0.099,0.167,13,14,0.607
142,26,57,0.088,1.444,0.175,0.04,0.68,0.108,0.0,0.723,0.022,0.0,0.201,4,0.273,0.331,16,16,0.894
143,30,58,0.067,1.364,0.133,0.034,0.724,0.095,0.0,0.716,0.013,0.0,0.185,3,0.138,0.23,18,20,0.645
144,27,63,0.09,1.35,0.179,0.038,0.731,0.118,0.0,0.539,0.02,0.0,0.124,3,0.286,0.32,14,22,0.825
145,20,38,0.1,1.429,0.2,0.053,0.684,0.14,0.0,0.705,0.024,0.0,0.124,3,0.087,0.191,9,12,0.755
146,32,71,0.072,1.882,0.143,0.032,0.516,0.108,0.0,0.677,0.05,0.0,0.354,3,0.084,0.165,10,22,2.137
147,30,73,0.084,1.667,0.168,0.034,0.586,0.112,0.0,0.569,0.043,0.0,0.194,3,0.158,0.25,9,20,1.752
148,21,48,0.114,1.312,0.229,0.05,0.75,0.143,0.0,0.736,0.096,0.0,0.329,2,0.167,0.209,7,16,2.512
